,c1,c2,r1,r2,w,mean effectiveness,mean time until containment,mean difference in met demand,mean difference in arrival time,mean cost per death prevented
97,0.535382483594349,0.6380767549376618,0.8705691800172785,0.157236619775469,0.8255085070480886,-0.8025620212303866,23.3,0.21986087847501928,739.49375,2709.0018274954427
98,0.55042624148408,0.5220254468317425,0.16133798968929952,0.514790681544271,0.054330262491464554,-0.8004840211590523,23.0,0.22837244664135384,722.05,2631.997652311331
99,0.853193359107888,0.44790881889677603,0.8888818859649725,0.9676067127460958,0.27334134738104443,-0.8279560263716353,10.7,0.4152868798980485,1065.5,1937.1625690119665
100,0.5321895160083049,0.5932924978580506,0.9971562292634433,0.12062744520916621,0.6981213260272288,-0.7475718163811492,25.1,0.11328501562933344,497.03125,3467.4270239011917
101,0.7012992675648274,0.7557882656047525,0.22810262833932965,0.2733689633412313,0.054330262491464554,-0.8393414281316292,14.2,0.34292935165882127,897.8625,2689.676903042098
102,0.6179245869644436,0.5493405178422075,0.8510036199780953,0.39587235908941165,0.12406225199063298,-0.8033405261818365,15.2,0.362863178320744,864.34375,2287.455871577514
103,0.16367232249212305,0.793417092230441,0.9221729797873021,0.17680020183818929,0.8505161571205945,-0.7960167465031351,15.6,0.2773340661549454,702.2625,3204.1264130413656
104,0.4980121245369909,0.7436936575241615,0.42987669236939274,0.1683954735502929,0.04378599102003905,-0.8052554714511444,18.1,0.2716124349361371,615.5,3407.750131774418
105,0.6180173637763737,0.5282420416481295,0.7658154444502489,0.24263311285486833,0.00016780375637692746,-0.7331880010326595,24.5,0.23928594572111622,514.725,3087.1092400935227
106,0.4493402870370806,0.3328830415352082,0.8951040709020011,0.39196819129278815,0.8121668478415771,-0.8006115191944035,20.6,0.2937748319728818,755.8875,2385.054073437292
107,0.6993807854744124,0.5016063339540635,0.081852663297054,0.910847158762204,0.06730626079024216,-0.80317122762313,21.1,0.17658656348292845,650.375,3189.5298379746096
108,0.6467726327685219,0.4458555743025261,0.8096670468010245,0.519284541801177,0.8862123929907137,-0.8403791784958023,18.4,0.41121658971051567,1010.16875,2084.5408272303976
109,0.7083218485671756,0.5833606838786181,0.6979039677205329,0.25818711351798207,0.026714499508013634,-0.7662847304986137,24.6,0.13093192934266681,535.55,3192.9510413531502
110,0.4473422364727417,0.6173928371920148,0.9252713758797774,0.08282183688665894,0.8807611594681398,-0.7568658824016742,21.7,0.14558015689109677,534.125,3428.819385062866
111,0.44775077075574093,0.7880492514198196,0.8725667268408945,0.9579921361160867,0.9219024283955937,-0.8255960219181677,22.6,0.4179026109943349,976.79375,1985.3604495569903
112,0.43743603581352536,0.7106809375205738,0.9289073550237281,0.11105824994260183,0.7232137310722464,-0.7843837640078605,19.8,0.24692472707496185,613.56875,3442.604376785565
113,0.7012992675648274,0.7557882656047525,0.19773574459030996,0.2733689633412313,0.8291406262390868,-0.8041407558646236,17.7,0.2257497488682048,697.84375,3190.6772624113246
114,0.8313687570361685,0.5865976576409531,0.807760719052093,0.32928630452178254,0.22505684508225948,-0.8014174701181588,24.2,0.2371864113487177,739.15625,2569.2757942202584
115,0.3353998834203458,0.5083051736267761,0.8258224244851784,0.40667277442104893,0.04954923418874918,-0.7879455834774631,21.5,0.22963945329367969,678.78125,2603.5397230709964
116,0.649015449145135,0.6011696860381694,0.9133770970954507,0.17110627149697405,0.8076475868163774,-0.8005685136242354,18.8,0.280419731018814,773.03125,2438.4414137010053
117,0.20476669913352552,0.5341529515168457,0.6678249402401926,0.39343826786203756,0.852843836871899,-0.7481776831338098,21.9,0.3351695210300038,558.5125,2892.8086252942635
118,0.6120665665715991,0.5946438078272572,0.07538931421954304,0.2560978162073553,0.025075378445549815,-0.7702516501154525,23.9,0.13187801791238338,545.3875,3247.449280710651
119,0.6739947502680622,0.5921956535850725,0.7875946951874946,0.1306019658713498,0.786668446602499,-0.7586730663233275,22.6,0.15983705950305507,579.4625,3058.061834004685
120,0.5942784511909038,0.5898821429267264,0.8736166176608524,0.21279124646844833,0.10226481332526288,-0.7726300348007904,20.1,0.15464996292236094,558.90625,3195.1393832268504
121,0.8350837658285224,0.6000768161621279,0.7366232360160782,0.26308997262146283,0.8021243977844995,-0.823141889375734,18.9,0.2991071279025284,906.35625,2382.630469228129
122,0.2738753622948221,0.4988340810163808,0.8286399826810916,0.4390791141762127,0.04954923418874918,-0.7906760971206366,21.1,0.27778029917916325,750.75,2399.8662556563495
123,0.8450387060416837,0.4199614698742941,0.9653129635263078,0.20580814419795843,0.9326492883879028,-0.7645131321793801,22.6,0.2826887719015016,616.8375,2690.9741433363456
124,0.689740114596772,0.697780841130606,0.7636973190541745,0.3167581190075436,0.017716321277048017,-0.8270564134195982,11.3,0.4215292467494047,1025.36875,2153.423294029612
125,0.7471176962482293,0.6935920459049354,0.765651157748108,0.1939595949241528,0.05629937484613773,-0.7936732419089731,19.7,0.20358861222309313,631.26875,3304.860615872789
126,0.5092003490207153,0.46842574226322564,0.6102263488231818,0.928245362470645,0.8048514873417226,-0.8374983247570473,18.1,0.3731736390205229,1006.81875,1997.5184290179411
127,0.7413269530192775,0.6391887831034245,0.7085743112207372,0.10965528179282187,0.6078280275580397,-0.7600477918075416,25.5,0.12352384166550771,519.1375,3500.9429179314006
128,0.6794763371409906,0.5898821429267264,0.8465185773367481,0.21279124646844833,0.12885564697818747,-0.7768273330455375,19.3,0.17328695076622716,597.05625,3015.4875205292324
129,0.45187956401758966,0.8282907240703206,0.7214738143788041,0.31899759093936725,0.4662212506599428,-0.8299861753260755,16.9,0.28357856130917847,830.6875,2791.8159220533234
130,0.582718668143036,0.6078232016132831,0.95630085917332,0.2514973597371004,0.6421051781554985,-0.804095777166086,18.7,0.26731742546301396,772.8875,2510.3327966040606
